# ZEC/USD daily close, 2016-10-29 .. 2020-12-07 (the span before Coinbase's ZEC-USD
# candle floor of 2020-12-08). Format: YYYY-MM-DD,usd  one per line, '#' comments skipped.
#
# Frozen historical data: these closes don't change, so bundling them keeps the deep tail
# of the ALL span working with zero network calls and no provider redistribution concerns.
# Points from this file are marked low Confidence (single-source) per docs/adr/0008. Being
# frozen historical data, it never needs refreshing.
#
# Source: Bitfinex tZECUSD daily candles (close), keyless public API, which lists ZEC/USD
# back to ZEC's launch day. The launch-week values (2016-10-29..2016-11) are ZEC's real
# near-zero-supply launch spike, not errors. Spot-checked against Yahoo Finance ZEC-USD
# (which only reaches 2017-11); the two agree within ~1-2% outside the Dec-2017/Jan-2018
# volatility peak, where exchanges genuinely diverged.
2019-04-22,69.52
2019-04-23,67.47
2019-04-24,65.91
2019-04-25,61.55
2019-04-26,63.17
2019-04-27,63.15
2019-04-28,62.46
2019-04-29,60.96
2019-04-30,63.72
2019-05-01,63.88
2019-05-02,62.70
2019-05-03,65.57
2019-05-04,63.69
2019-05-05,62.69
2019-05-06,63.49
2019-05-07,60.45
2019-05-08,60.29
2019-05-09,57.50
2019-05-10,58.09
2019-05-11,63.60
2019-05-12,60.57
2019-05-13,63.32
2019-05-14,67.54
2019-05-15,76.80
2019-05-16,74.82
2019-05-17,74.00
2019-05-18,71.90
2019-05-19,78.01
2019-05-20,76.41
2019-05-21,74.83
2019-05-22,70.09
2019-05-23,71.64
2019-05-24,72.72
2019-05-25,72.36
2019-05-26,76.34
2019-05-27,76.70
2019-05-28,85.27
2019-05-29,85.37
2019-05-30,82.83
2019-05-31,89.79
2019-06-01,86.24
2019-06-02,88.80
2019-06-03,83.32
2019-06-04,77.94
2019-06-05,80.51
2019-06-06,80.13
2019-06-07,83.25
2019-06-08,80.82
2019-06-09,77.53
2019-06-10,80.35
2019-06-11,79.79
2019-06-12,91.66
2019-06-13,87.57
2019-06-14,91.18
2019-06-15,92.52
2019-06-16,93.97
2019-06-17,102.17
2019-06-18,112.00
2019-06-19,111.06
2019-06-20,109.94
2019-06-21,110.56
2019-06-22,113.35
2019-06-23,110.07
2019-06-24,109.10
2019-06-25,104.61
2019-06-26,112.06
2019-06-27,105.84
2019-06-28,112.01
2019-06-29,114.10
2019-06-30,103.21
2019-07-01,104.16
2019-07-02,101.96
2019-07-03,106.23
2019-07-04,101.25
2019-07-05,99.96
2019-07-06,103.84
2019-07-07,107.10
2019-07-08,105.13
2019-07-09,101.11
2019-07-10,97.09
2019-07-11,88.29
2019-07-12,93.00
2019-07-13,89.31
2019-07-14,81.97
2019-07-15,80.14
2019-07-16,67.01
2019-07-17,73.69
2019-07-18,78.61
2019-07-19,75.36
2019-07-20,77.67
2019-07-21,75.25
2019-07-22,72.90
2019-07-23,70.55
2019-07-24,71.04
2019-07-25,69.97
2019-07-26,71.58
2019-07-27,69.06
2019-07-28,68.75
2019-07-29,67.39
2019-07-30,66.76
2019-07-31,68.19
2019-08-01,67.70
2019-08-02,66.73
2019-08-03,65.07
2019-08-04,66.09
2019-08-05,66.81
2019-08-06,62.39
2019-08-07,62.21
2019-08-08,62.68
2019-08-09,58.86
2019-08-10,56.81
2019-08-11,59.96
2019-08-12,56.87
2019-08-13,55.47
2019-08-14,50.69
2019-08-15,50.82
2019-08-16,49.00
2019-08-17,50.19
2019-08-18,52.83
2019-08-19,54.10
2019-08-20,52.08
2019-08-21,50.05
2019-08-22,50.77
2019-08-23,51.13
2019-08-24,50.27
2019-08-25,50.13
2019-08-26,51.50
2019-08-27,50.52
2019-08-28,46.61
2019-08-29,45.11
2019-08-30,44.64
2019-08-31,44.78
2019-09-01,45.44
2019-09-02,46.90
2019-09-03,45.62
2019-09-04,45.00
2019-09-05,44.94
2019-09-06,45.87
2019-09-07,47.08
2019-09-08,48.34
2019-09-09,47.20
2019-09-10,45.05
2019-09-11,44.53
2019-09-12,44.80
2019-09-13,44.85
2019-09-14,46.41
2019-09-15,46.89
2019-09-16,48.81
2019-09-17,50.88
2019-09-18,52.91
2019-09-19,51.47
2019-09-20,48.97
2019-09-21,47.93
2019-09-22,46.27
2019-09-23,44.14
2019-09-24,35.95
2019-09-25,38.09
2019-09-26,35.06
2019-09-27,37.56
2019-09-28,40.50
2019-09-29,37.95
2019-09-30,38.88
2019-10-01,38.36
2019-10-02,38.31
2019-10-03,37.37
2019-10-04,37.12
2019-10-05,37.00
2019-10-06,35.71
2019-10-07,37.59
2019-10-08,36.76
2019-10-09,38.16
2019-10-10,37.68
2019-10-11,36.10
2019-10-12,36.77
